date_from,date_to,tier,map,legend,abi_1,abi_2,charm_1,charm_2,match_count,win_count
2023-11-05,2023-11-12,silver3,4006,103,3,5,2,3,1,0
2023-11-05,2023-11-12,silver3,4009,103,3,5,2,3,1,1
2023-11-05,2023-11-12,silver3,4006,103,3,5,2,4,1,0
2023-11-05,2023-11-12,silver3,4003,103,3,5,2,4,1,0
2023-11-05,2023-11-12,silver3,4007,103,3,5,3,1,1,0
2023-11-05,2023-11-12,silver3,4005,103,3,5,3,1,1,0
2023-11-05,2023-11-12,silver3,4009,103,3,5,3,2,1,1
2023-11-05,2023-11-12,silver3,4008,103,3,5,3,2,1,0
2023-11-05,2023-11-12,silver3,4003,103,3,5,4,1,1,0
2023-11-05,2023-11-12,silver3,4006,103,3,5,5,6,2,1
2023-11-05,2023-11-12,silver3,4007,103,3,5,5,6,1,0
2023-11-05,2023-11-12,silver3,4005,103,3,5,5,6,1,1
2023-11-05,2023-11-12,silver3,4007,103,4,5,3,1,1,0
2023-11-05,2023-11-12,silver3,4008,103,5,1,1,3,1,0
2023-11-05,2023-11-12,silver3,4005,103,5,2,1,4,1,0
2023-11-05,2023-11-12,silver3,4007,103,5,3,1,6,1,0
2023-11-05,2023-11-12,silver3,4007,103,5,3,6,3,2,0
2023-11-05,2023-11-12,silver3,4007,103,5,4,1,6,1,1
2023-11-05,2023-11-12,silver3,4003,103,5,4,1,6,2,1
2023-11-05,2023-11-12,silver3,4007,104,1,0,4,5,1,0
2023-11-05,2023-11-12,silver3,4005,104,5,4,4,3,1,1
2023-11-05,2023-11-12,silver3,4006,104,5,4,4,3,1,1
2023-11-05,2023-11-12,silver3,4007,105,1,0,5,4,1,0
2023-11-05,2023-11-12,silver3,4006,105,1,0,6,1,1,0
2023-11-05,2023-11-12,silver3,4007,105,1,2,1,5,1,0
2023-11-05,2023-11-12,silver3,4005,105,1,2,1,5,1,0
2023-11-05,2023-11-12,silver3,4006,105,1,2,3,4,1,0
2023-11-05,2023-11-12,silver3,4008,105,1,2,4,5,1,0
2023-11-05,2023-11-12,silver3,4006,105,1,5,6,4,1,0
2023-11-05,2023-11-12,silver3,4007,105,2,1,2,3,1,0
2023-11-05,2023-11-12,silver3,4009,105,3,2,3,4,1,0
2023-11-05,2023-11-12,silver3,4006,105,3,2,3,4,1,0
2023-11-05,2023-11-12,silver3,4005,105,3,2,4,2,1,0
2023-11-05,2023-11-12,silver3,4006,105,3,4,3,5,1,0
2023-11-05,2023-11-12,silver3,4007,105,3,5,3,5,1,0
2023-11-05,2023-11-12,silver3,4006,105,4,2,5,2,1,0
2023-11-05,2023-11-12,silver3,4007,105,4,5,3,2,1,0
2023-11-05,2023-11-12,silver3,4003,105,4,5,3,2,2,1
2023-11-05,2023-11-12,silver3,4009,105,4,5,3,2,1,1
2023-11-05,2023-11-12,silver3,4008,105,4,5,3,2,1,0
2023-11-05,2023-11-12,silver3,4008,105,4,5,6,1,1,0
2023-11-05,2023-11-12,silver3,4008,105,5,1,5,6,1,0
2023-11-05,2023-11-12,silver3,4005,105,5,1,5,6,1,0
2023-11-05,2023-11-12,silver3,4003,105,5,1,6,3,2,0
2023-11-05,2023-11-12,silver3,4006,105,5,1,6,3,1,0
2023-11-05,2023-11-12,silver3,4009,105,5,2,2,1,1,0
2023-11-05,2023-11-12,silver3,4006,105,5,2,3,2,1,0
2023-11-05,2023-11-12,silver3,4009,105,5,2,3,4,1,0
2023-11-05,2023-11-12,silver3,4008,105,5,2,3,4,1,1
2023-11-05,2023-11-12,silver3,4007,105,5,2,3,4,1,0
2023-11-05,2023-11-12,silver3,4005,105,5,2,3,4,1,0
2023-11-05,2023-11-12,silver3,4008,105,5,3,2,5,1,0
