date_from,date_to,tier,map,legend,match_count,win_count,win_pct,abi1,abi2,abi3,abi4,abi5,abi0,e_blue,e_pink,e_yellow,e_green,e_red,e_gray
2023-11-05,2023-11-12,silver3,fac,peter,1,0,0.0,0,1,0,0,1,0,0,0,1,1,0,0
2023-11-05,2023-11-12,silver3,night,peter,1,1,100.0,0,1,0,0,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,sunset,peter,1,0,0.0,0,1,0,0,1,0,1,0,1,0,0,0
2023-11-05,2023-11-12,silver3,noon,peter,1,0,0.0,0,1,0,0,1,0,1,0,0,1,0,0
2023-11-05,2023-11-12,silver3,noon,peter,1,0,0.0,0,1,0,0,1,0,1,0,1,0,0,0
2023-11-05,2023-11-12,silver3,noon,peter,1,0,0.0,0,1,0,0,1,0,1,1,0,0,0,0
2023-11-05,2023-11-12,silver3,fac,peter,1,0,0.0,0,1,0,0,1,0,1,1,0,0,0,0
2023-11-05,2023-11-12,silver3,noon,peter,1,1,100.0,0,1,0,0,1,0,1,1,0,0,0,0
2023-11-05,2023-11-12,silver3,night,peter,2,0,0.0,0,1,0,0,1,0,1,1,0,0,0,0
2023-11-05,2023-11-12,silver3,sunset,peter,1,0,0.0,0,1,0,0,1,0,1,1,0,0,0,0
2023-11-05,2023-11-12,silver3,sunset,peter,1,0,0.0,0,0,1,0,1,0,0,0,1,1,0,0
2023-11-05,2023-11-12,silver3,fac,peter,2,1,50.0,0,0,1,0,1,0,0,0,1,1,0,0
2023-11-05,2023-11-12,silver3,noon,peter,3,2,66.66666666666666,0,0,1,0,1,0,0,0,1,1,0,0
2023-11-05,2023-11-12,silver3,proto,peter,1,0,0.0,0,0,1,0,1,0,0,0,1,1,0,0
2023-11-05,2023-11-12,silver3,fac,peter,1,0,0.0,0,0,0,1,1,0,0,0,1,1,0,0
2023-11-05,2023-11-12,silver3,noon,peter,1,1,100.0,0,0,0,1,1,0,1,0,0,0,0,1
2023-11-05,2023-11-12,silver3,strato,cindy,1,0,0.0,1,0,0,1,0,0,1,0,0,0,1,0
2023-11-05,2023-11-12,silver3,sunset,cindy,1,0,0.0,1,0,0,1,0,0,1,0,0,0,1,0
2023-11-05,2023-11-12,silver3,proto,kaiser,1,0,0.0,0,0,0,0,0,1,1,0,1,0,0,0
2023-11-05,2023-11-12,silver3,noon,kaiser,1,0,0.0,1,0,0,0,0,1,0,0,0,1,0,1
2023-11-05,2023-11-12,silver3,sunset,kaiser,1,0,0.0,1,1,0,0,0,0,0,0,0,1,0,1
2023-11-05,2023-11-12,silver3,noon,kaiser,1,0,0.0,1,1,0,0,0,0,1,0,0,0,0,1
2023-11-05,2023-11-12,silver3,noon,kaiser,1,0,0.0,1,0,1,0,0,0,1,0,0,0,0,1
2023-11-05,2023-11-12,silver3,proto,kaiser,1,0,0.0,1,0,0,0,1,0,0,0,0,1,1,0
2023-11-05,2023-11-12,silver3,sunset,kaiser,1,1,100.0,1,0,0,0,1,0,0,1,0,1,0,0
2023-11-05,2023-11-12,silver3,fac,kaiser,1,0,0.0,1,0,0,0,1,0,0,1,0,1,0,0
2023-11-05,2023-11-12,silver3,fac,kaiser,1,1,100.0,0,1,1,0,0,0,0,0,1,0,0,1
2023-11-05,2023-11-12,silver3,noon,kaiser,1,0,0.0,0,1,0,0,1,0,0,1,0,0,0,1
2023-11-05,2023-11-12,silver3,proto,kaiser,1,0,0.0,0,1,1,0,0,0,0,0,0,1,0,1
2023-11-05,2023-11-12,silver3,sunset,kaiser,1,0,0.0,0,0,1,0,1,0,0,0,0,1,0,1
2023-11-05,2023-11-12,silver3,sunset,kaiser,1,0,0.0,0,0,1,0,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,fac,kaiser,1,1,100.0,0,0,1,0,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,sunset,kaiser,1,0,0.0,0,0,1,0,1,0,0,0,0,0,1,1
2023-11-05,2023-11-12,silver3,noon,kaiser,1,0,0.0,0,0,1,0,1,0,0,0,0,0,1,1
2023-11-05,2023-11-12,silver3,night,kaiser,1,0,0.0,0,0,1,0,1,0,0,0,1,1,0,0
2023-11-05,2023-11-12,silver3,proto,kaiser,1,0,0.0,0,0,1,0,1,0,0,0,1,1,0,0
2023-11-05,2023-11-12,silver3,fac,kaiser,1,1,100.0,0,0,1,0,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,strato,kaiser,1,0,0.0,0,0,1,0,1,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,noon,kaiser,1,0,0.0,0,0,1,0,1,0,0,0,0,1,0,1
2023-11-05,2023-11-12,silver3,sunset,kaiser,2,1,50.0,0,0,1,0,1,0,1,1,0,0,0,0
2023-11-05,2023-11-12,silver3,night,kaiser,1,0,0.0,0,0,1,0,1,0,1,1,0,0,0,0
2023-11-05,2023-11-12,silver3,proto,kaiser,1,1,100.0,0,0,1,0,1,0,1,1,0,0,0,0
2023-11-05,2023-11-12,silver3,night,kaiser,1,0,0.0,0,0,0,1,1,0,0,0,1,1,0,0
2023-11-05,2023-11-12,silver3,strato,kaiser,1,0,0.0,1,0,0,0,1,0,0,0,1,1,0,0
2023-11-05,2023-11-12,silver3,proto,kaiser,1,0,0.0,0,1,0,0,1,0,0,0,0,1,0,1
2023-11-05,2023-11-12,silver3,night,kaiser,1,0,0.0,0,0,1,0,1,0,0,1,0,1,0,0
2023-11-05,2023-11-12,silver3,night,kaiser,2,0,0.0,0,0,1,0,1,0,0,1,1,0,0,0
2023-11-05,2023-11-12,silver3,night,kaiser,1,1,100.0,0,0,0,1,1,0,0,1,0,1,0,0
2023-11-05,2023-11-12,silver3,noon,kaiser,2,1,50.0,0,0,0,1,1,0,0,1,0,1,0,0
2023-11-05,2023-11-12,silver3,night,red,1,0,0.0,1,0,0,0,0,1,1,0,0,0,0,1
2023-11-05,2023-11-12,silver3,proto,red,1,1,100.0,0,0,0,1,1,0,0,0,1,0,0,1
2023-11-05,2023-11-12,silver3,sunset,red,1,1,100.0,0,0,0,1,1,0,0,0,1,0,0,1
2023-11-05,2023-11-12,silver3,night,hook,1,0,0.0,1,0,0,0,0,1,1,0,0,0,0,1
2023-11-05,2023-11-12,silver3,sunset,hook,1,0,0.0,1,0,0,0,0,1,0,1,0,1,0,0
2023-11-05,2023-11-12,silver3,night,hook,1,0,0.0,1,1,0,0,0,0,1,0,0,1,0,0
2023-11-05,2023-11-12,silver3,proto,hook,1,0,0.0,1,1,0,0,0,0,1,0,0,1,0,0
2023-11-05,2023-11-12,silver3,sunset,hook,1,0,0.0,1,1,0,0,0,0,0,0,1,0,0,1
2023-11-05,2023-11-12,silver3,strato,hook,1,0,0.0,1,1,0,0,0,0,1,0,0,0,0,1
2023-11-05,2023-11-12,silver3,sunset,hook,1,0,0.0,1,0,0,0,1,0,0,1,0,0,0,1
2023-11-05,2023-11-12,silver3,night,hook,1,0,0.0,1,1,0,0,0,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,fac,hook,1,0,0.0,0,1,1,0,0,0,0,0,1,0,0,1
2023-11-05,2023-11-12,silver3,sunset,hook,1,0,0.0,0,1,1,0,0,0,0,0,1,0,0,1
2023-11-05,2023-11-12,silver3,proto,hook,1,0,0.0,0,1,1,0,0,0,0,0,0,0,1,1
